tempat_favorite_depok
Kampus B STT-NF, -6.3529245, 106.8277527
NFACADEMY, -6.3527815, 106.8299028
Kampus A STT-NF, -6.3627739, 106.8418778
Balai Kota Depok, -6.3935407, 106.8185338
Stasiun Pondok Cina, -6.3690785, 106.8296332

