WKT,name,description
"POINT (106.82292 -6.194449 0.0)",Jakarta,
"POLYGON ((106.7224028 -6.0863607, 106.6860105 -6.0966022, 106.6894438 -6.1764794, 106.7251493 -6.1962761, 106.7148497 -6.2242634, 106.7430021 -6.228359, 106.7608549 -6.2815985, 106.7759611 -6.3177709, 106.8075468 -6.3170885, 106.7924406 -6.3600827, 106.81098 -6.365542, 106.8350126 -6.3539409, 106.8459989 -6.3396097, 106.8562986 -6.3423395, 106.8714048 -6.3546233, 106.8940641 -6.3730485, 106.9146635 -6.3614475, 106.9215299 -6.2986613, 106.9091703 -6.2952488, 106.9057371 -6.2597573, 106.9235899 -6.2495189, 106.9462492 -6.2515666, 106.952429 -6.2133417, 106.9647886 -6.2017372, 106.9730284 -6.1764794, 106.9689085 -6.0952367, 106.9592955 -6.0788501, 106.7498686 -6.069291, 106.7224028 -6.0863607))",Kota DKI Jakarta,
